====== Start Time ======
2021-08-20-16:08:57-CST

phc2sys[330775.422]: clock set to insert leap second at midnight (UTC)
phc2sys[331231.862]: CLOCK_REALTIME phc offset    -11678 s2 freq   -2490 delay   1243
phc2sys[331232.862]: CLOCK_REALTIME phc offset    -11659 s2 freq  -14149 delay   1238
phc2sys[331233.862]: CLOCK_REALTIME phc offset         1 s2 freq   -5987 delay   1247
phc2sys[331234.862]: CLOCK_REALTIME phc offset      3520 s2 freq   -2467 delay   1243
phc2sys[331235.862]: CLOCK_REALTIME phc offset      3508 s2 freq   -1423 delay   1247
phc2sys[331236.862]: CLOCK_REALTIME phc offset      2446 s2 freq   -1433 delay   1276
phc2sys[331237.862]: CLOCK_REALTIME phc offset      1411 s2 freq   -1734 delay   1242
phc2sys[331238.863]: CLOCK_REALTIME phc offset       667 s2 freq   -2055 delay   1244
phc2sys[331239.863]: CLOCK_REALTIME phc offset       246 s2 freq   -2276 delay   1245
phc2sys[331240.863]: CLOCK_REALTIME phc offset        41 s2 freq   -2407 delay   1249
phc2sys[331241.863]: CLOCK_REALTIME phc offset       -21 s2 freq   -2457 delay   1238
phc2sys[331242.863]: CLOCK_REALTIME phc offset       -40 s2 freq   -2482 delay   1259
phc2sys[331243.863]: CLOCK_REALTIME phc offset       -41 s2 freq   -2495 delay   1244
phc2sys[331244.863]: CLOCK_REALTIME phc offset       -33 s2 freq   -2499 delay   1253
phc2sys[331245.863]: CLOCK_REALTIME phc offset        -8 s2 freq   -2484 delay   1251
phc2sys[331246.863]: CLOCK_REALTIME phc offset         1 s2 freq   -2478 delay   1256
phc2sys[331247.864]: CLOCK_REALTIME phc offset       -12 s2 freq   -2490 delay   1275
phc2sys[331248.864]: CLOCK_REALTIME phc offset         5 s2 freq   -2477 delay   1275
phc2sys[331249.864]: CLOCK_REALTIME phc offset         2 s2 freq   -2478 delay   1245
phc2sys[331250.864]: CLOCK_REALTIME phc offset         7 s2 freq   -2473 delay   1247
phc2sys[331251.864]: CLOCK_REALTIME phc offset         3 s2 freq   -2475 delay   1245
phc2sys[331252.864]: CLOCK_REALTIME phc offset         9 s2 freq   -2468 delay   1250
phc2sys[331253.864]: CLOCK_REALTIME phc offset        -4 s2 freq   -2478 delay   1247
phc2sys[331254.864]: CLOCK_REALTIME phc offset        -7 s2 freq   -2482 delay   1246
phc2sys[331255.864]: CLOCK_REALTIME phc offset        10 s2 freq   -2467 delay   1251
phc2sys[331256.865]: CLOCK_REALTIME phc offset         1 s2 freq   -2473 delay   1246
phc2sys[331257.865]: CLOCK_REALTIME phc offset        -3 s2 freq   -2477 delay   1242
phc2sys[331258.865]: CLOCK_REALTIME phc offset         0 s2 freq   -2475 delay   1253
phc2sys[331259.865]: CLOCK_REALTIME phc offset         0 s2 freq   -2475 delay   1250
phc2sys[331260.865]: CLOCK_REALTIME phc offset        -2 s2 freq   -2477 delay   1239
phc2sys[331261.865]: CLOCK_REALTIME phc offset        -3 s2 freq   -2479 delay   1249
phc2sys[331262.865]: CLOCK_REALTIME phc offset         1 s2 freq   -2475 delay   1253
phc2sys[331263.865]: CLOCK_REALTIME phc offset         3 s2 freq   -2473 delay   1251
phc2sys[331264.866]: CLOCK_REALTIME phc offset         4 s2 freq   -2471 delay   1240
phc2sys[331265.866]: CLOCK_REALTIME phc offset       -13 s2 freq   -2487 delay   1244
phc2sys[331266.866]: CLOCK_REALTIME phc offset        -1 s2 freq   -2479 delay   1239
phc2sys[331267.866]: CLOCK_REALTIME phc offset         0 s2 freq   -2478 delay   1245
phc2sys[331268.866]: CLOCK_REALTIME phc offset        10 s2 freq   -2468 delay   1241
phc2sys[331269.866]: CLOCK_REALTIME phc offset         0 s2 freq   -2475 delay   1240
phc2sys[331270.866]: CLOCK_REALTIME phc offset         5 s2 freq   -2470 delay   1244
phc2sys[331271.866]: CLOCK_REALTIME phc offset         5 s2 freq   -2469 delay   1250
phc2sys[331272.866]: CLOCK_REALTIME phc offset        -4 s2 freq   -2476 delay   1246
phc2sys[331273.867]: CLOCK_REALTIME phc offset        -2 s2 freq   -2475 delay   1245
phc2sys[331274.867]: CLOCK_REALTIME phc offset       -10 s2 freq   -2484 delay   1271
phc2sys[331275.867]: CLOCK_REALTIME phc offset        14 s2 freq   -2463 delay   1244
phc2sys[331276.867]: CLOCK_REALTIME phc offset         9 s2 freq   -2464 delay   1262
phc2sys[331277.867]: CLOCK_REALTIME phc offset       -16 s2 freq   -2486 delay   1252
phc2sys[331278.867]: CLOCK_REALTIME phc offset         3 s2 freq   -2472 delay   1250
phc2sys[331279.867]: CLOCK_REALTIME phc offset         2 s2 freq   -2472 delay   1238
phc2sys[331280.868]: CLOCK_REALTIME phc offset        -2 s2 freq   -2475 delay   1248
phc2sys[331281.868]: CLOCK_REALTIME phc offset       -10 s2 freq   -2484 delay   1280
phc2sys[331282.868]: CLOCK_REALTIME phc offset        22 s2 freq   -2455 delay   1255
phc2sys[331283.868]: CLOCK_REALTIME phc offset        -6 s2 freq   -2476 delay   1246
phc2sys[331284.868]: CLOCK_REALTIME phc offset        -2 s2 freq   -2474 delay   1252
phc2sys[331285.868]: CLOCK_REALTIME phc offset        -5 s2 freq   -2478 delay   1252
phc2sys[331286.868]: CLOCK_REALTIME phc offset         2 s2 freq   -2472 delay   1255
phc2sys[331287.868]: CLOCK_REALTIME phc offset        -2 s2 freq   -2476 delay   1250
phc2sys[331288.869]: CLOCK_REALTIME phc offset       -13 s2 freq   -2487 delay   1249
phc2sys[331289.869]: CLOCK_REALTIME phc offset        14 s2 freq   -2464 delay   1239
phc2sys[331290.869]: CLOCK_REALTIME phc offset        13 s2 freq   -2461 delay   1250
phc2sys[331291.869]: CLOCK_REALTIME phc offset       -16 s2 freq   -2486 delay   1247
phc2sys[331292.869]: CLOCK_REALTIME phc offset        -5 s2 freq   -2480 delay   1245
phc2sys[331293.869]: CLOCK_REALTIME phc offset        -1 s2 freq   -2477 delay   1252
phc2sys[331294.870]: CLOCK_REALTIME phc offset         4 s2 freq   -2473 delay   1243
phc2sys[331295.870]: CLOCK_REALTIME phc offset       -14 s2 freq   -2490 delay   1278
phc2sys[331296.870]: CLOCK_REALTIME phc offset        24 s2 freq   -2456 delay   1244
phc2sys[331297.870]: CLOCK_REALTIME phc offset        -6 s2 freq   -2479 delay   1242
phc2sys[331298.870]: CLOCK_REALTIME phc offset        -8 s2 freq   -2482 delay   1253
phc2sys[331299.870]: CLOCK_REALTIME phc offset         1 s2 freq   -2476 delay   1251
phc2sys[331300.870]: CLOCK_REALTIME phc offset        17 s2 freq   -2459 delay   1250
phc2sys[331301.871]: CLOCK_REALTIME phc offset         5 s2 freq   -2466 delay   1249
phc2sys[331302.871]: CLOCK_REALTIME phc offset       -20 s2 freq   -2490 delay   1251
phc2sys[331303.871]: CLOCK_REALTIME phc offset        -1 s2 freq   -2477 delay   1251
phc2sys[331304.871]: CLOCK_REALTIME phc offset         6 s2 freq   -2470 delay   1248
phc2sys[331305.871]: CLOCK_REALTIME phc offset         6 s2 freq   -2468 delay   1250
phc2sys[331306.871]: CLOCK_REALTIME phc offset       -10 s2 freq   -2483 delay   1248
phc2sys[331307.871]: CLOCK_REALTIME phc offset         1 s2 freq   -2475 delay   1251
phc2sys[331308.872]: CLOCK_REALTIME phc offset         4 s2 freq   -2471 delay   1238
phc2sys[331309.872]: CLOCK_REALTIME phc offset         1 s2 freq   -2473 delay   1241
phc2sys[331310.872]: CLOCK_REALTIME phc offset        11 s2 freq   -2463 delay   1247
phc2sys[331311.872]: CLOCK_REALTIME phc offset        -6 s2 freq   -2476 delay   1246
phc2sys[331312.872]: CLOCK_REALTIME phc offset        -6 s2 freq   -2478 delay   1243
phc2sys[331313.872]: CLOCK_REALTIME phc offset         0 s2 freq   -2474 delay   1243
phc2sys[331314.872]: CLOCK_REALTIME phc offset        -7 s2 freq   -2481 delay   1238
phc2sys[331315.873]: CLOCK_REALTIME phc offset         7 s2 freq   -2469 delay   1252
phc2sys[331316.873]: CLOCK_REALTIME phc offset        11 s2 freq   -2463 delay   1245
phc2sys[331317.873]: CLOCK_REALTIME phc offset        -7 s2 freq   -2478 delay   1276
phc2sys[331318.873]: CLOCK_REALTIME phc offset         2 s2 freq   -2471 delay   1237
phc2sys[331319.873]: CLOCK_REALTIME phc offset        -1 s2 freq   -2473 delay   1271
phc2sys[331320.873]: CLOCK_REALTIME phc offset         4 s2 freq   -2469 delay   1247
phc2sys[331321.873]: CLOCK_REALTIME phc offset         2 s2 freq   -2469 delay   1242
phc2sys[331322.874]: CLOCK_REALTIME phc offset        -1 s2 freq   -2472 delay   1241
phc2sys[331323.874]: CLOCK_REALTIME phc offset        -6 s2 freq   -2477 delay   1246
phc2sys[331324.874]: CLOCK_REALTIME phc offset        -2 s2 freq   -2475 delay   1246
phc2sys[331325.874]: CLOCK_REALTIME phc offset        -8 s2 freq   -2481 delay   1280
phc2sys[331326.874]: CLOCK_REALTIME phc offset         9 s2 freq   -2467 delay   1240
